temp_model,n_temp_feats,geom_model,n_geom_feats,results_dir,experiment_description
PCA,50,PCA,24,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_pca_24_components,"PCA for temporal model, using PCA geometric features. 12 geometric features, 16 temporal features."
PCA,50,GDL,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_gdl_12_components,
PCAS,63,GDL,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_gdl_12_components_separated_features,"PCA completed separately on each time series, with GDL features. 12 geometric features. 63 temporal features selected automatically as explaining 98% of the variance."
PCAS,71,PCA,12,/home/wolf6273/singular_spectrum_analysis/results/ssa_pca_50_components_on_pca_12_components_separated_features,"PCA completed separately on each time series, with GDL features. 12 geometric features. 63 temporal features selected automatically as explaining 98% of the variance."
TimeVAE,24,PCA,16,/home/wolf6273/4D_geom/checkpoints/temporal/final_pca_g_16_t_24,"TimeVAE for temporal model, using PCA geometric features. 12 geometric features. 16 temporal features."
TimeVAE,24,GDL,16,/home/wolf6273/4D_geom/checkpoints/temporal/final_gdl_g_16_t_24,"TimeVAE for temporal model, using PCA geometric features. 12 geometric features. 16 temporal features."
TimeVAES,128,PCA,16,/home/wolf6273/4D_geom/checkpoints/temporal/sparse_pca_8,"TimeVAE completed separately on each time series, with PCA features. 12 geometric features. 48 temporal features."
TimeVAES,80,GDL,16,/home/wolf6273/4D_geom/checkpoints/temporal/sparse_gdl_5,"TimeVAE completed separately on each time series, with GDL features. 12 geometric features. 48 temporal features."
